Oluen nimi,Arvostelija,Tyyppi,Arvosana
Staropramen Lager,Saku,0.5 l tölkki,5.0
Staropramen Lager,Saku,"0,33 l tölkki",5.0
Pilsner Urquell,Saku,"0,33 l tölkki",2.5
Pilsner Urquell,Saku,"0,5 l tölkki",3.0
Postriziny Francinuv Lezak,Saku,"0,5 l lasipullo",3.5
Budejovicky 1795 Premium Lager,Jesse,"0,5 l lasipullo",4.5
Staropramen Lager,Riku,"0,5 l tölkki",3.0
Pilsner Urquell,Riku,"0,5 l lasipullo",5.0
Krusovice Pale Lager,Riku,"0,5 l lasipullo",4.0
Budojovicky Budvar,Riku,"0,5 l lasipullo",4.0
Bernard Bohemiam Lager,Riku,"0,5 l lasipullo",3.75
Novopacke Valdstejn,Saku,"0,5 l lasipullo",3.5
Budojovicky Budvar,Saku,"0,5 l tölkki",3.75
Kozel Premium Lager,Saku,"0,5 l tölkki",2.75
Krusovice Pale Lager,Jesse,"0,5 l tölkki",3.25
Budojovicky Budvar,Jesse,"0,5 l tölkki",3.75
Holba Premium,Jesse,"0,5 l lasipullo",2.0
Holba Premium,Saku,"0,5 l tölkki",3.25
Krusovice Pale Lager,Saku,"0,5 l tölkki",2.0
Budejovicky 1795 Premium Lager,Saku,"0,5 l tölkki",4.25
Praga Premium Pils,Jesse,"0,5 l lasipullo",4.75
Budojovicky Budvar,Esa,"0,5 l lasipullo",4.5
Samson 1795 Hopped Lager,Saku,"0,5 l lasipullo",4.0
Budejovicky 1795 Premium Lager,Valtteri,"0,5 l lasipullo",4.5
Staropramen Lager,Valtteri,"0,5 l tölkki",4.5
Pilsner Urquell,Valtteri,"0,5 l tölkki",3.0
Budojovicky Budvar,Esa,"0,5 l tölkki",3.75
Budejovicky 1795 Premium Lager,Esa,"0,5 l lasipullo",2.5
Budejovicky 1795 Premium Dark Lager,Esa,"0,5 l lasipullo",0.0
Bernard Bohemiam Lager,Jesse,"0,5 l lasipullo",4.25
Velkopopovicky Kozel Lager Premium ,Esa,"0,5 l tölkki",1.0
Velkopopovicky Kozel Dark ,Esa,"0,5 l tölkki",0.0
Staropramen Lager,Esa,"0,5 l tölkki",5.0
Pilsner Urquell,Esa,"0,5 l tölkki",5.0
Staropramen Lager,Santeri ,hanaolut,4.0
Bernard Bohemiam Lager,Santeri ,"0,5 l lasipullo",3.5
Krusovice Pale Lager,Santeri ,"0,5 l tölkki",4.0
Praga Premium Pils,Riku,"0,5 l lasipullo",4.0
Budojovicky Budvar,Eero,"0,5 l tölkki",3.0
Krusovice Pale Lager,Esa,"0,5 l lasipullo",3.0
Pilsner Urquell,Esa,"0,5 l lasipullo",5.0
Postriziny Francinuv Lezak,Esa,"0,5 l lasipullo",3.0
Postriziny Bogan,Esa,"0,5 l lasipullo",1.5
Postriziny Jegenactka,Esa,"0,5 l lasipullo",1.75
Pilsner Urquell,Eero,"0,5 l tölkki",2.0
Staropramen Lager,Valtteri,"0,5 l lasipullo",3.75
Kozel premium lager ,Santeri ,"0,5 l lasipullo",3.0
Kozel Premium Lager,Saku,"0,33 l tölkki",3.25
Staropramen Lager,Esa,"0,33 l lasipullo",5.0
Novopacke Kumburak,Saku,"0,5 l lasipullo",3.5
Holba Premium,Esa,"0,5 l lasipullo",4.0
Samson 1795 Lager,Jesse,"0,5 l lasipullo",4.25
Praga Premium Pils,Saku,"0,5 l lasipullo",4.5
Samson 1795 Lager,Saku,"0,5 l lasipullo",4.5
Samson 1795 Lager,Eero,"0,5 l lasipullo",4.5
Staropramen Lager,Eero,"0,5 l tölkki",5.0
Krusovice Pale Lager,Esa,"0,5 l tölkki",2.75
Bohemia Regent President,Eero,"0,5 l tölkki",2.5
Bernard Bohemiam Lager,Esa,"0,5 l lasipullo",4.75
Samson 1795 Lager,Esa,"0,5 l lasipullo",1.5
Samson 1795 Hopped Lager,Esa,"0,5 l lasipullo",3.0
Samson 1795 Lager,Esa,"0,5 l lasipullo",3.0
Novopacke Valdstejn,Esa,"0,5 l lasipullo",1.0
Budejovicky Budvar Dark Lager,Esa,"0,5 l tölkki",1.5
Budojovicky Budvar,Valtteri,"0,5 l tölkki",4.0
Bohemia Regent President,Esa,"0,5 l tölkki",4.0
Budejovicky 1795 Bock,Eero,"0,5 l lasipullo",3.25
Praga Premium Pils,Esa,"0,5 l lasipullo",4.5
Budojovicky Budvar,Saku,"0,33 l tölkki",4.0
Bohemia Regent President,Santeri ,"0,5 l tölkki",3.0
Gambrinus Premium 12,Eero,"0,5 l lasipullo",3.0
